DATE,TRANSECT_ID,SITE,SPECIES,ROAMING_SYSTEMATIC,NUMBER_INDIVIDUALS,DETECTION_TIME_STAMP,TRANSECT_START_TIME,ADJUSTED_DETECTION_TIME,LIFESTAGE,SCREENGRAB_LINK
3/14/2025,2025_03_14_Deering_3.1,DEERING,SBAR,SYSTEMATIC,1,0:01:32,11:36:00 AM,11:37:32 AM,UNKNOWN,https://drive.google.com/file/d/1Vzs30HXZy1bVP4JAHQ20PcTyGtQIrDZ7/view?usp=drive_link
3/14/2025,2025_03_14_Deering_3.1,DEERING,SBAR,SYSTEMATIC,2,0:02:57,11:36:00 AM,11:38:57 AM,UNKNOWN,https://drive.google.com/file/d/1fkJxXapfv45rNhh6L_o2lAOMMrOs8cvQ/view?usp=drive_link
3/14/2025,2025_03_14_Deering_3.1,DEERING,SBAR,SYSTEMATIC,1,0:03:01,11:36:00 AM,11:39:01 AM,UNKNOWN,https://drive.google.com/file/d/1x6M99cbyNEaKXpjh2fZAVVm-d6osRrO2/view?usp=drive_link
3/14/2025,2025_03_14_Deering_3.2,DEERING,CMYD,SYSTEMATIC,1,0:00:30,11:41:00 AM,11:41:30 AM,JUVENILE,https://drive.google.com/file/d/1w4-5WdYvLcGh0Bjzqm2FLFKo_75v59sV/view?usp=drive_link
3/14/2025,2025_03_14_Deering_3.2,DEERING,HAME,SYSTEMATIC,1,0:03:28,11:41:00 AM,11:44:28 AM,UNKNOWN,https://drive.google.com/file/d/13s2_zM8qi33HzDnrvUn-M6orsISll6m4/view?usp=drive_link
3/22/2025,2025_03_22_Deering_2.1,DEERING,STIB,SYSTEMATIC,1,0:01:13,12:14:00 PM,12:15:13 PM,UNKNOWN,https://drive.google.com/file/d/1sBqTbF0tGOnDtoOCE56Q8l2LjQYLpyyQ/view?usp=drive_link
3/22/2025,2025_03_22_Deering_2.1,DEERING,STIB,SYSTEMATIC,1,0:01:48,12:14:00 PM,12:15:48 PM,UNKNOWN,https://drive.google.com/file/d/1krw0Udc6dIg73AOBixxs2uXFVtWMZGHp/view?usp=drive_link
3/22/2025,2025_03_22_Deering_3.1,DEERING,STIB,SYSTEMATIC,1,0:01:23,11:11:00 AM,11:12:23 AM,UNKNOWN,https://drive.google.com/file/d/1GDFnkQV1chb2cmPsaHna92NGGhoi5VaG/view?usp=drive_link
3/22/2025,2025_03_22_Deering_3.1,DEERING,HAME,SYSTEMATIC,1,0:01:23,11:11:00 AM,11:12:23 AM,UNKNOWN,https://drive.google.com/file/d/1wbuu53uHMtDS71DxV_MJKrpqqH59XZM7/view?usp=drive_link
3/22/2025,2025_03_22_Deering_3.1,DEERING,SBAR,SYSTEMATIC,2,0:01:46,11:11:00 AM,11:12:46 AM,UNKNOWN,https://drive.google.com/file/d/1Pg-fasa2k-52YabMPh7E1FqFJb8bddQu/view?usp=drive_link
